Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /announcements,1267,0,3100.0,2864.4291095501326,27.389900000343914,13559.678899999199,40961.12943962115,8.506914512835722,0.0,3100,3500,3700,4000,4800,6000,7200,7800,13000,14000,14000
GET,GET /events,993,0,3000.0,2832.261171903345,24.59259999977803,13020.306100000198,26610.280966767372,6.667218714479773,0.0,3000,3300,3600,3900,4900,6100,7700,9000,13000,13000,13000
GET,GET /events?date_range,203,0,3100.0,2942.721278325107,33.70809999978519,11369.724599999245,26918.935960591134,1.3629863031615248,0.0,3100,3300,3600,3800,4900,6000,8600,11000,11000,11000,11000
GET,GET /health,1738,0,77,144.63942157653736,6.631500000366941,1077.4578000000474,15.0,11.669311304900148,0.0,77,100,150,230,420,480,550,580,1000,1100,1100
GET,GET /messages,44,0,3000.0,3061.12067045466,364.11170000064885,7446.710600000188,2.0,0.29542560265569995,0.0,3100,3500,3600,4400,5100,5800,7400,7400,7400,7400,7400
GET,GET /users,65,0,3000.0,2974.8106723076344,632.6997999995001,10566.69409999995,670.0,0.4364241857413749,0.0,3000,3300,3700,3900,4400,6200,8700,11000,11000,11000,11000
POST,POST /announcements,101,101,3100.0,3012.3235613861048,72.9615999998714,9390.277499999684,21.0,0.6781360424596748,0.6781360424596748,3100,3500,3700,4000,5000,6200,7700,8800,9400,9400,9400
POST,POST /auth/login,95,0,1500.0,1995.5954484210931,427.4404999996477,8372.49299999985,516.7894736842105,0.6378507330066249,0.0,1500,1800,2000,2600,4600,5500,8000,8400,8400,8400,8400
POST,POST /events,45,0,3300.0,3214.694540000022,703.4192999999505,9475.684600000022,338.0,0.30213982089787494,0.0,3300,3900,4000,4200,4800,5300,9500,9500,9500,9500,9500
,Aggregated,4551,101,1100.0,1814.3182299494786,6.631500000366941,13559.678899999199,18440.439024390245,30.556407220138418,0.6781360424596748,1100,2800,3200,3400,4200,5300,6700,7800,11000,14000,14000
